Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT-TH_BS-02-A1AK006,2,BS-02-A1AK006,C964746
BT3,BAT-SMD_BH-18650-B1BA007,1,BH-18650-B1BA007,C6937126
"C1, C2, C3",0603,3,10uF,C19702
"J1, J3",PinSocket_1x05_P2.54mm_Horizontal,2,Conn_01x05,
J2,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
OLED2,OLED-TH_L35.4-W33.5_HS13L03W2C01,1,HS13L03W2C01,C7465997
U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AZ1117H-3.3TRG1,C110474
U2,SOT-223_L6.7-W3.5-P2.30-BR,1,AMS1117-5.0_C347223,C347223
U3,COMM-SMD_ESP-WROOM-32D,1,ESP-WROOM-32E,C19949066
